id,car_id,last4ccnum,LastName,FirstName,group,CurrentEmploymentTitle,label
39,NA,NA,NA,NA,Locations,NA,Abila Zacharo
40,NA,NA,NA,NA,Locations,NA,House 12
41,NA,NA,NA,NA,Locations,NA,Guy's Gyros
42,NA,NA,NA,NA,Locations,NA,Kalami Kafenion
43,NA,NA,NA,NA,Locations,NA,Katerina's Cafe
44,NA,NA,NA,NA,Locations,NA,General Grocer
45,NA,NA,NA,NA,Locations,NA,Brew've Been Served
46,NA,NA,NA,NA,Locations,NA,Ouzeri Elian
47,NA,NA,NA,NA,Locations,NA,House 20
48,NA,NA,NA,NA,Locations,NA,Bean There Done That
49,NA,NA,NA,NA,Locations,NA,House 2
50,NA,NA,NA,NA,Locations,NA,Hippokampos
51,NA,NA,NA,NA,Locations,NA,Meeting Point 2
52,NA,NA,NA,NA,Locations,NA,Work 28?
53,NA,NA,NA,NA,Locations,NA,House 28
54,NA,NA,NA,NA,Locations,NA,Shoppers' Delight
55,NA,NA,NA,NA,Locations,NA,Kronos Capitol
56,NA,NA,NA,NA,Locations,NA,Coffee Cameleon
57,NA,NA,NA,NA,Locations,NA,Meeting Point 3
58,NA,NA,NA,NA,Locations,NA,Kronos Mart
59,NA,NA,NA,NA,Locations,NA,Octavio's Office Supplies
60,NA,NA,NA,NA,Locations,NA,"House 22,23,30"
61,NA,NA,NA,NA,Locations,NA,Meeting Point 6
62,NA,NA,NA,NA,Locations,NA,"House 6,25,29"
63,NA,NA,NA,NA,Locations,NA,Gelatogalore
64,NA,NA,NA,NA,Locations,NA,Frydos Autosupply n' More
65,NA,NA,NA,NA,Locations,NA,"House 15,16,13,21"
66,NA,NA,NA,NA,Locations,NA,"House of 17,33,24"
67,NA,NA,NA,NA,Locations,NA,Meeting Point 4
68,NA,NA,NA,NA,Locations,NA,Roberts and Sons
69,NA,NA,NA,NA,Locations,NA,house 18 and 14
70,NA,NA,NA,NA,Locations,NA,"house 18, 14, 21"
71,NA,NA,NA,NA,Locations,NA,House 1
72,NA,NA,NA,NA,Locations,NA,House 8
73,NA,NA,NA,NA,Locations,NA,House 5
74,NA,NA,NA,NA,Locations,NA,Jack's Magical Beans
75,NA,NA,NA,NA,Locations,NA,House 34
76,NA,NA,NA,NA,Locations,NA,U-Pump
77,NA,NA,NA,NA,Locations,NA,House 27
78,NA,NA,NA,NA,Locations,NA,Meeting Point 5
79,NA,NA,NA,NA,Locations,NA,Chostus Hotel
80,NA,NA,NA,NA,Locations,NA,House 32
81,NA,NA,NA,NA,Locations,NA,Frank's Fuel
82,NA,NA,NA,NA,Locations,NA,House 26
83,NA,NA,NA,NA,Locations,NA,Brewed Awakenings
84,NA,NA,NA,NA,Locations,NA,Albert's Fine Clothing
85,NA,NA,NA,NA,Locations,NA,House 35
86,NA,NA,NA,NA,Locations,NA,House 10
87,NA,NA,NA,NA,Locations,NA,Ahaggo Museum
88,NA,NA,NA,NA,Locations,NA,House 4
89,NA,NA,NA,NA,Locations,NA,Meeting Point 1
90,NA,NA,NA,NA,Locations,NA,House 11
91,NA,NA,NA,NA,Locations,NA,House 9
92,NA,NA,NA,NA,Locations,NA,House 7
93,NA,NA,NA,NA,Locations,NA,House 3
94,NA,NA,NA,NA,Locations,NA,House 19
95,NA,NA,NA,NA,Locations,NA,Desafio Golf Course
